vertical_table.id,vertical_table.parent,vertical_table.title
,1,Р12
,1,Р22
,1,Р26
,1,Р27
,1,Р35
,1,Р38
,1,Р40
,1,Р41
,1,Р42
,1,Р43
,1,Р56
,1,Р64А
,1,Р66
,1,Р67
,1,Р68
,1,Р70
,1,Р71
,1,Р74
,1,Р75
,1,Р76
,1,Р77
,1,Р78
,1,Р79
,1,Р80
,1,Р81
,1,Р86
,1,Р69
,1,Р34
,1,17В
,1,18В
,1,Р30
,1,Р31
,1,Р84
,1,0В
,1,1В
,1,2В
,1,3В
,1,Р10
,2,0В
,2,1В
,2,2В
,2,3В
,3,0В
,4,0В
,5,0В
,5,1В
,6,0В
,6,1В
,6,2В
,6,3В
,7,00
,7,10
,7,20
,7,30
,7,40
,7,50
,7,00М
,7,10М
,7,20М
,8,0В
,8,1В
,8,П25
,8,2В
,8,П15
,8,П5
,8,П10
,8,П2
,8,П24
,8,П22
,8,П23
,8,П34
,9,0В
,9,1В
,10,Р1
,10,Р2
,10,Р3
,11,Р1
,11,Р2
,11,Р3
,11,Р4
,11,Р5
,12,Р1
,12,Р2
,12,Р3
,12,Р4
,12,Р5
,13,Р1
,13,Р2
,13,Р3
,13,Р4
,13,Р5
,14,Р1
,14,Р2
,14,Р3
,14,Р4
,14,Р5
,15,0В
,15,1В
,15,2В
,16,0В
,17,0В
,18,0В
,18,1В
,18,2В
,19,0В
